adjective,gender,discipline,file_names,total_count,affect_count,judgement_count,appreciation_count,ambiguous_count,p_affect,p_judgement,p_appreciation,assigned_class,assigned_confidence,example_affect,example_judgement,example_appreciation,example_ambiguous
high,f,his,His11_en.conllu || His14_en.conllu || His15_en.conllu || His3_en.conllu || His7_en.conllu,9,0,0,1,8,0.0,0.0,1.0,appreciation,1.0,,,"Despite the harsh rhetoric and efforts to block immigration , keep refugees out of the country , support for refugees and immigrants in this country , according to polls , has never been higher .","When someone makes an outrageous claim , even though they may hold one of the highest offices in the land , if not the world -- we must say to them , "" Where 's the proof ? || She was walking to work one day in April , 1992 , in a miniskirt and high heels . || And she runs as any of us would have done and takes cover , and she hides behind a trash bin , in her high heels and her miniskirt . || Last April , I went back to a very strange -- what I called a deranged high school reunion . || You and father must keep your heads held high . """
big,f,his,His11_en.conllu || His1_en.conllu || His2_en.conllu || His5_en.conllu || His7_en.conllu,9,0,0,1,8,0.0,0.0,1.0,appreciation,1.0,,,But actually the story is bigger .,"Having thought that through , I decided denial was not going to be on my agenda ; I had bigger things to worry about , to write about , to research , and I moved on . || We had a big dance at the White House . || Yeah , there 's actually a lot more than these five , these are the big ones . || There is no bigger data than the fossil record , and we mine every bit of it . || And as we leave this haven of uplifting beauty , we are inspired to ask ourselves life 's biggest questions :"
safe,f,his,His14_en.conllu || His3_en.conllu || His5_en.conllu,8,1,3,1,3,0.2,0.6,0.2,judgement,0.6,How do I keep my daughter safe ?,"A few weeks later , my friend was in a crowd of people pushing with her infant son in her arms to give him to a stranger on a bus , which was one of the last buses leaving Sarajevo to take children out so they could be safe . || Knowing that they would n't be safe where we were , would I be able to watch them go ? || Meanwhile , they 're not safe , and they have no access to lawyers .","And one thing I 've learned is that , sometimes , the things that we 're told make us safer and stronger actually do n't .","It 's very difficult to be safe in these countries , let alone build a future for yourself and your family . || A country is strong when it says to the refugee , not , "" Go away , "" but , "" It 's OK , we 've got you , you 're safe . "" || You have the heroes and heroines who make safe the way , and we follow the mothers and fathers ."
dead,f,his,His11_en.conllu || His14_en.conllu || His15_en.conllu || His1_en.conllu || His5_en.conllu,8,3,0,0,5,1.0,0.0,0.0,affect,1.0,"The people who lived in the myriads of towns and villages and cities on the Eastern front , who watched their neighbors be rounded up -- men , women , children , young , old -- and be marched to the outskirts of the town to be shot and left dead in ditches . || In any case , someone would return a few months later and leave a note on Dad 's kitchen table , which simply said , "" Consider yourself dead . "" || Shortly before her death , Amel had said to her mother of herself and her sisters , "" Nothing will happen to us , Inshallah , God willing , but if something happens , you must know that we are dead for knowledge .",,,"And to give you some example , I remember standing and looking down a road as far as I could see , at least a mile , and there were bodies piled twice my height of the dead . || And that was just a small percentage of the dead . || But both views are dead wrong . || When you are brought up as a Catholic , you think that if you ever set foot in a Protestant Church , you 'll be struck dead at the threshold . || Because I realized that this representation of the human drama was always about men and women -- so much so , that the dead center , the heart of the ceiling , is the creation of woman , not Adam ."
large,f,his,His14_en.conllu || His15_en.conllu || His1_en.conllu || His2_en.conllu || His3_en.conllu || His5_en.conllu,8,0,0,2,6,0.0,0.0,1.0,appreciation,1.0,,,"It was almost as if the hole in his heart was so large that even the love of a family , without work , could not fill it . || The next figure looms larger , and you see a figure hurtling from one side to the next .","And the thing that struck me the most , that broke my heart , was walking down the main street of Sarajevo , where my friend Aida saw the tank coming 20 years ago , and in that road were more than 12,000 red chairs , empty , and every single one of them symbolized a person who had died during the siege , just in Sarajevo , not in all of Bosnia , and it stretched from one end of the city to a large part of it , and the saddest for me were the tiny little chairs for the children . || When I meet her in her office in Herat , she enters surrounded by four large men with four huge guns . || Allowing me to learn from these large figures about the struggle for meaning for life . || But -- there 's always a but , because we 're still here -- mammals arose from the ashes , became small under extreme heat and then ever larger . || To give you a sense of the decline in the refugee program : three years ago , the US resettled 15,000 Syrian refugees in response to the largest refugee crisis on earth ."
true,f,his,His11_en.conllu || His15_en.conllu || His1_en.conllu,7,0,0,3,4,0.0,0.0,1.0,appreciation,1.0,,,"We proved that what he said happened -- and by extension , all deniers , because he either quotes them or they get their arguments from him -- is not true . || There are certain things that are true . || There was a problem with these stories , however , which I later discovered , which is that half of them were n't true .","For example , in a November 1994 series in the newspaper El Watan entitled "" How Fundamentalism Produced a Terrorism without Precedent , "" he denounced what he called the terrorists ' radical break with the true Islam as it was lived by our ancestors . || This remains true today , nearly 20 years later . || How true for Lincoln . || So as for that third sphere of play , which he never had learned to enjoy , I 've learned over the years that even this sphere requires a commitment of time and energy -- enough so that a hobby , a sport , a love of music , or art , or literature , or any form of recreation , can provide true pleasure , relaxation and replenishment ."
wrong,f,his,His11_en.conllu || His15_en.conllu || His7_en.conllu,6,0,0,2,4,0.0,0.0,1.0,appreciation,1.0,,,But both views are dead wrong . || I admitted that I 'd actually had a fantasy -- kind of a dark fantasy -- of writing a letter about everything that was wrong with the world and then lighting myself on fire on the White House steps .,"For deniers to be right , who would have to be wrong ? || Who else would have to be wrong ? || But above all , who would have to be wrong ? || The first that one sometimes finds on the right suggests that most Muslims are fundamentalist or something about Islam is inherently fundamentalist , and this is just offensive and wrong , but unfortunately on the left one sometimes encounters a discourse that is too politically correct to acknowledge the problem of Muslim fundamentalism at all or , even worse , apologizes for it , and this is unacceptable as well ."
right,f,his,His11_en.conllu || His5_en.conllu || His7_en.conllu,6,0,1,0,5,0.0,1.0,0.0,judgement,1.0,,"Julius was a man who envisioned a Vatican that would be eternally relevant through grandeur and through beauty , and he was right .",,"For deniers to be right , who would have to be wrong ? || It may go by names : "" alt - right , "" "" National Front "" -- pick your names . || A quiz show recently appeared in "" The New Yorker "" where the host of the quiz show is saying to one of the contestants , "" Yes , ma'am , you had the right answer . || Right . || One of them was I used to lie on the kitchen floor of my childhood home , and I would suck the thumb of my left hand and hold my mom 's cold toes with my right hand ."
creative,f,his,His15_en.conllu || His5_en.conllu || His7_en.conllu,5,0,1,0,4,0.0,1.0,0.0,judgement,1.0,,"Given his own lack of financial resources , Mr. Bihi has had to be creative .",,"Because in that compressed space , there was a creative explosion , ignited by the electric excitement of new geopolitical frontiers , which set on fire the ancient missionary tradition of the Church and produced one of the greatest works of art in history . || And it did , thanks to a creative genius , a visionary and an awesome story . || Now , the creative genius was Michelangelo Buonarroti , 33 years old when he was tapped to decorate 12,000 square feet of ceiling , and the deck was stacked against him -- he had trained in painting but had left to pursue sculpture . || She said , "" You are smarter , more creative and more resilient than that . """
certain,f,his,His11_en.conllu || His1_en.conllu,5,2,0,0,3,1.0,0.0,0.0,affect,1.0,"So I was certain he would kick me out of the program . || But as I left that night , I was certain that somehow I 'd traded the life of my everlasting soul for this one night with Roy Campanella .",,,"There are certain things that are true . || But only as he grew older did he develop a certain consolation from an ancient Greek notion -- but followed by other cultures as well -- that if you could accomplish something worthy in your life , you could live on in the memory of others . || He had broken his engagement with Mary Todd , not certain he was ready to marry her , but knowing how devastating it was to her that he did that ."
possible,f,his,His15_en.conllu || His1_en.conllu || His2_en.conllu,5,1,0,2,2,0.3333,0.0,0.6667,appreciation,0.6667,"Whereas to pursue all three with equal dedication , is to make possible a life filled not only with achievement , but with serenity .",,"In fact , Amel 's sister Lamia overcame her grief , went to law school , and practices as a lawyer in Algiers today , something which is only possible because the armed fundamentalists were largely defeated in the country . || No schooling was possible for him , except a few weeks here , a few weeks there .","Later on in our interview , Prosecutor Bashir tells me how worried she is about the possible outcome of government negotiations with the Taliban , the people who have been trying to kill her . || And "" How did we get here ? "" -- using the broadest possible definition of "" we "" : life itself ."
strong,f,his,His1_en.conllu || His3_en.conllu,4,0,0,2,2,0.0,0.0,1.0,appreciation,1.0,,,""" Everyone is broken by life , "" Ernest Hemingway once said , "" but some people are stronger in the broken places . "" || A country is strong when it says to the refugee , not , "" Go away , "" but , "" It 's OK , we 've got you , you 're safe . ""","He said , "" Look , these are the strongest and most able men in the country . || And one thing I 've learned is that , sometimes , the things that we 're told make us safer and stronger actually do n't ."
about,f,his,His1_en.conllu || His5_en.conllu,4,0,3,1,0,0.0,0.75,0.25,judgement,0.75,,"But as he was about to put his signature on the Proclamation his own hand was numb and shaking because he had shaken a thousand hands that morning at a New Year 's reception . || But he 's about to dispel the gloom by using those bright colors right underneath Noah : emerald , topaz , scarlet on the prophet Zechariah . || And now we 're at the keystone of the ceiling , the culmination of the whole thing , with a figure that looks like he 's about to fall out of his space into our space , encroaching our space .","That spark is about to be conferred by the creator in that finger , which is one millimeter from the hand of Adam .",
worthy,f,his,His11_en.conllu || His1_en.conllu,4,1,0,0,3,1.0,0.0,0.0,affect,1.0,"Intrigued and flattered that they came to me with an idea and thought me worthy of it , I asked , "" What is it ? """,,,"But it was n't simply for office or power or celebrity or fame -- what it was for was to accomplish something worthy enough in life so that he could make the world a little better place for his having lived in it . || But only as he grew older did he develop a certain consolation from an ancient Greek notion -- but followed by other cultures as well -- that if you could accomplish something worthy in your life , you could live on in the memory of others . || And that worthy ambition became his lodestar ."
enough,f,his,His15_en.conllu || His7_en.conllu,3,0,1,0,2,0.0,1.0,0.0,judgement,1.0,,"It is not enough , as the victims rights advocate Cherifa Kheddar told me in Algiers , it is not enough just to battle terrorism .",,"It is not enough , as the victims rights advocate Cherifa Kheddar told me in Algiers , it is not enough just to battle terrorism . || It 's enough to make you feel very overwhelmed ."
good,f,med,Med15_en.conllu || Med16_en.conllu || Med1_en.conllu || Med2_en.conllu || Med3_en.conllu || Med4_en.conllu || Med5_en.conllu,23,2,1,7,13,0.2,0.1,0.7,appreciation,0.7,"But , you know , it does n't matter if I 'm actually good at it . || I got into it because I wanted to help people feel better .","So our feeling is , if it 's good enough for the rugby team , it 's good enough for health and poverty .","Prevention is good , and I 'm doing the things that you can do to prevent Alzheimer 's . || Corporations have gotten drastically better at gaming the system . || He said , "" If you want to tweak a drug , and you want to get another patent on it , the modified version has to be significantly better , therapeutically , for patients . "" || Now , things are better , but HIV / AIDS remains a terrible global challenge . || In that clinic , even today , there are two social workers for 24,000 pediatric patients , which is better than a lot of the clinics out there .","The best Christmas my children ever had was also the worst Christmas my husband and I ever had . || I 'm changing what I do for fun , I 'm working to build my physical strength , and -- this is the hard one -- I 'm trying to become a better person . || Finally , the third thing . I 'm trying to become a better person . || My organization , a team of lawyers and scientists , recently conducted an investigation into the 12 best - selling drugs in America . We found that , on average , there are 125 patents filed on each medicine . || That to get a patent , you have to invent something substantially better than what 's already out there ."
new,f,med,Med15_en.conllu || Med1_en.conllu || Med2_en.conllu || Med3_en.conllu || Med4_en.conllu || Med5_en.conllu,22,0,0,1,21,0.0,0.0,1.0,appreciation,1.0,,,The vast majority of medicines associated with new drug patents are not new .,"A few days later , researchers come from a medical center in New York and say they want blood , too . || Fear that the naysayers were right and the cats would simply find a new food . || And I also discover as I move into this fear , that I can learn many new things and find paths to things like practical solutions as well as the core of healing and health . || The vast majority of medicines associated with new drug patents are not new . || Our information is being used to create the new therapies ."
able,f,med,Med15_en.conllu || Med16_en.conllu || Med1_en.conllu || Med3_en.conllu,14,8,2,0,4,0.8,0.2,0.0,affect,0.8,"We 'll not only find ourselves there but we 'll also be able to step into the shoes of those we fear and those who fear us . || I 'm doing yoga and tai chi to improve my balance , so that when I start to lose it , I 'll still be able to be mobile . || And there 's a recognition in our family that everything I 've been able to do -- college , law school , health justice work -- all of it is because America enabled my father to fulfill his potential as an inventor . || We were able to bring down the prices of medicines by up to 87 percent . || On just three drugs , we were able to save health systems half a billion dollars .","After these very long , painstaking operations , attempting to cure things they 'd never been able to touch before , the patients died . || It has to be able to come off of the centerline and then be able to work back toward that centerline .",,"And since this was introduced in 1999 , a lot of these robots have been out and being used for surgical procedures like a prostatectomy , which is a prostate deep in the pelvis , and it requires fine dissection and delicate manipulation to be able to get a good surgical outcome . || So what 's going to come out of that tube is the debut of this new technology , this new robot that is going to be able to reach anywhere . || And as you see it come out , in order to actually be able to do anything useful , it ca n't all stay clustered up like this . || It has to be able to come off of the centerline and then be able to work back toward that centerline ."
hard,f,med,Med15_en.conllu || Med16_en.conllu || Med3_en.conllu || Med4_en.conllu || Med5_en.conllu,14,0,6,4,4,0.0,0.6,0.4,judgement,0.6,,"He needs help eating , he needs help getting dressed , he does n't really know where he is or when it is , and it 's been really , really hard . || When you get dementia , it gets harder and harder to enjoy yourself . || And that love makes us want to be around him , even now . Even when it 's so hard . || And one of the reasons why it is so hard is because the external ergonomics are terrible . || These questions , in my mind , are not hard because the answers are complicated , they are hard because they require that we be honest with ourselves .","The science is hard , the regulatory regime is difficult . || These techniques were a lot harder to learn than people had anticipated . || But this is hard . || These questions , in my mind , are not hard because the answers are complicated , they are hard because they require that we be honest with ourselves .","Sure , it 's really hard to discover and develop interventions and therapies . || I 'm changing what I do for fun , I 'm working to build my physical strength , and -- this is the hard one -- I 'm trying to become a better person . || When you get dementia , it gets harder and harder to enjoy yourself . || The era of the "" big surgeon , big incision "" had arrived , but at quite a cost , because they are saving lives , but not necessarily quality of life , because healthy people do n't usually need surgery , and unhealthy people have a very hard time recovering from a cut like that . The question had to be asked , "" Well , can we do these same surgeries but through little incisions ? """
high,f,med,Med1_en.conllu || Med2_en.conllu || Med3_en.conllu,8,0,0,4,4,0.0,0.0,1.0,appreciation,1.0,,,"Why are drug prices so high ? || So instead , we target those areas where HIV rates are the highest . || We know in certain countries in sub-Saharan Africa we can test and treat pregnant women where rates are highest . || And during that learning curve the complications went quite a bit higher .","But truth be told , I was actually there to talk about a problem -- how our outdated patent system is fueling the high cost of medicines and costing lives . || The higher a patent wall a company builds , the longer they hold on to their monopoly . || It may seem unbelievable , but the way we figure out the causes of infant mortality in those countries with the highest infant mortality is a conversation with mom . || Let 's say , for example , we find out in certain areas of Africa that babies are dying because of a bacterial infection transferred from the mother to the baby , known as Group B streptococcus . In the absence of treatment , mom has a seven times higher chance that her next baby will die ."
long,f,med,Med16_en.conllu || Med1_en.conllu || Med2_en.conllu || Med3_en.conllu,8,0,0,1,7,0.0,0.0,1.0,appreciation,1.0,,,The learning curve was very long .,"You ca n't sit and have long talks with your old friends , because you do n't know who they are . || Rudy paused for a long time , and then he said , "" That 's the disease that took my father 's life 15 years ago . "" || The higher a patent wall a company builds , the longer they hold on to their monopoly . || It was a long deliberation before we finally settled on Jennifer Bridget . || After these very long , painstaking operations , attempting to cure things they 'd never been able to touch before , the patients died ."
small,f,med,Med15_en.conllu || Med3_en.conllu || Med4_en.conllu || Med5_en.conllu,7,0,0,2,5,0.0,0.0,1.0,appreciation,1.0,,,"So something like a prostatectomy -- the prostate is small , and it 's in one spot , and you can set your robot up very precisely to work in that one spot . || If we look at the anatomy , the blood vessels that surround the heart are smaller in women compared to men , and the way that those blood vessels develop disease is different in women compared to men .","There is a small groundswell of individuals who are working to change this . || Laparoscopy is doing this kind of surgery : surgery with long instruments through small incisions . || So what you need to do , to take the capability of your hand , and put it on the other side of that small incision , is you need to put a wrist on that instrument . || Now , to do that , we need to be able to bring a camera and instruments in together through one small tube , like that tube you saw in the laparoscopy video . || What if a small part of that next healthcare workforce were the 11 million college students in this country ?"
much,f,med,Med2_en.conllu || Med3_en.conllu,7,0,0,1,6,0.0,0.0,1.0,appreciation,1.0,,,"Because we were in the age before anesthesia , the agony of the patient is really as much of the public spectacle as the surgery itself .","It felt like a miracle , so much so that today , we 're harnessing all those tools -- big data , consumer monitoring , gene sequencing and more -- to tackle a broad variety of diseases . || What is astonishing about this is , even though we do n't know really how much of this was intended to be religious , or how much of it was intended to be therapeutic , what we can tell is that these patients lived ! || That may have saved the writers , but it did n't really save the surgeons terribly much . || With all its bells and whistles , one of those robots will cost you about as much as a solid gold surgeon . || And when you get to that point -- I mean , these maladies do n't care how many books you 've written , how many companies you 've started , that Nobel Prize you have yet to win , how much time you planned to spend with your children ."
real,f,med,Med15_en.conllu || Med3_en.conllu || Med4_en.conllu,7,0,1,0,6,0.0,1.0,0.0,judgement,1.0,,"Now we may think that 's good or bad , but in either case it 's real .",,"And when we realize that working on our inner life is working on our outer life and outer work is inner work , we get down to what is real and shit gets done . || Some of the tools for this had been around for a hundred years , but it had only been used as a diagnostic technique until the 1980s , when there was changes in camera technologies and things like that , that allowed this to be done for real operations . || But the real issue is there 's no food at home . || The real issue is that child is living with 12 other people in a two - bedroom apartment . || And that 's what Health Leads has tried to do , to reclaim that real estate and that time and to use it as a gateway to connect patients to the resources they need to be healthy ."
enough,f,med,Med15_en.conllu || Med4_en.conllu || Med5_en.conllu,6,0,0,2,4,0.0,0.0,1.0,appreciation,1.0,,,"We quickly learned that this shared resource was not going to be enough . || We know that our doctors and nurses and even social workers are n't enough , that the ticking minutes of health care are too constraining .","My fear of not having enough impact . || My fear of not being enough . || The doctors , it seemed , never really had enough time for all the patients , try as they might . || But more women than men will complain of "" just not feeling right , "" "" ca n't seem to get enough air in , "" "" just so tired lately . """
bad,f,med,Med15_en.conllu || Med16_en.conllu || Med1_en.conllu || Med2_en.conllu || Med4_en.conllu,6,2,0,0,4,1.0,0.0,0.0,affect,1.0,"I 've always liked to draw , so I 'm doing it more even though I 'm really very bad at it . || But too often my treatments made them feel worse .",,,"The best Christmas my children ever had was also the worst Christmas my husband and I ever had . || This is n't about making the pharmaceutical industry the bad guy . || And even worse -- it 's not that helpful , because we might know there was a fever or vomiting , but we do n't know why . || Now we may think that 's good or bad , but in either case it 's real ."
sick,f,med,Med15_en.conllu || Med16_en.conllu || Med2_en.conllu || Med4_en.conllu,6,2,1,0,3,0.6667,0.3333,0.0,affect,0.6667,"I am sick to my stomach . || We started with the prescription pad -- a very ordinary piece of paper -- and we asked , not what do patients need to get healthy -- antibiotics , an inhaler , medication -- but what do patients need to be healthy , to not get sick in the first place ?",Now he 's really pretty sick .,,"And so the side effects that you 're all very familiar with -- hair loss , being sick to your stomach , having a suppressed immune system , so infection was a constant threat -- were always surrounding us . || If we know what it takes to have a healthcare system rather than a sick - care system , why do n't we just do it ? || What if we had a waiting room where you do n't just sit when you 're sick , but where you go to get healthy ."
wrong,f,med,Med15_en.conllu || Med3_en.conllu || Med5_en.conllu,5,0,0,3,2,0.0,0.0,1.0,appreciation,1.0,,,"And you have some guy that you 're not quite sure what 's wrong with him -- Oliver Sacks is going to be born way in the future . || But you think to yourself , "" I 'm not quite sure what 's wrong with this guy . || But we now know that that theory was wrong -- or it 's at least a little incomplete .","The doctors assured us there was nothing wrong and I should n't worry , but I was n't so sure . || Fear that we were making the wrong choices ."
sure,f,med,Med15_en.conllu || Med3_en.conllu,5,3,0,0,2,1.0,0.0,0.0,affect,1.0,"The doctors assured us there was nothing wrong and I should n't worry , but I was n't so sure . || But you think to yourself , "" I 'm not quite sure what 's wrong with this guy . || I 'm not sure I really even want it to .",,,How do you know for sure ? || And you have some guy that you 're not quite sure what 's wrong with him -- Oliver Sacks is going to be born way in the future .
simple,f,med,Med1_en.conllu || Med3_en.conllu || Med4_en.conllu,5,0,1,0,4,0.0,1.0,0.0,judgement,1.0,,It 's not so simple .,,"But a reimagined patent system would resurrect and evolve this simple , yet elegant proposition . || Something so simple . || So Health Leads was born of these conversations -- a simple model where doctors and nurses can prescribe nutritious food , heat in the winter and other basic resources for their patients the same way they prescribe medication . || But they are ours for the taking -- simple examples of the vast under - utilized healthcare resources that , if we reclaimed and redeployed , could realize our most basic aspiration of healthcare ."
male,f,med,Med5_en.conllu,5,1,0,0,4,1.0,0.0,0.0,affect,1.0,"But it 's important to realize that from the moment of conception , every cell in our bodies -- skin , hair , heart and lungs -- contains our own unique DNA , and that DNA contains the chromosomes that determine whether we become male or female , man or woman .",,,"Well , it turns out that those cells used in that laboratory , they 're male cells , and the animals used in the animal studies were male animals , and the clinical trials have been performed almost exclusively on men . || How is it that the male model became our framework for medical research ? || It used to be thought that those sex - determining chromosomes pictured here -- XY if you 're male , XX if you 're female -- merely determined whether you would be born with ovaries or testes , and it was the sex hormones that those organs produced that were responsible for the differences we see in the opposite sex ."
happy,f,med,Med15_en.conllu || Med16_en.conllu,4,2,1,1,0,0.5,0.25,0.25,affect,0.5,"Because the more things that are familiar , the more things my hands know how to do , the more things that I can be happy and busy doing when my brain 's not running the show anymore . || I want to be as happy as I can for as long as I can .","At ages 29 and 27 , they declare they are happy and healthy despite having manifestations of PXE in their skin and eyes and arteries .","They say that people who are engaged in activities are happier , easier for their caregivers to look after , and it may even slow the progress of the disease . That all seems like win to me .",
possible,f,med,Med1_en.conllu || Med2_en.conllu || Med3_en.conllu,4,0,0,2,2,0.0,0.0,1.0,appreciation,1.0,,,"A much more powerful approach to public health -- imagine what might be possible . || So in order to give you some kind of a perspective of where we are right now with surgical robots , and where we 're going to be going in the future , I want to give you a little bit of perspective of how we got to this point , how we even came to believe that surgery was OK , that this was something that was possible to do , that this kind of cutting and reforming was OK .","Corporations have teams of lawyers and lobbyists whose sole job is to extend patent protection as long as possible . And they 've kept the patent office busy . || Every day in the rich world , we 're bringing incredible talent and tools -- everything at our disposal -- to precisely target diseases in ways I never imagined would be possible ."
pregnant,f,med,Med2_en.conllu,4,0,0,1,3,0.0,0.0,1.0,appreciation,1.0,,,"We know that when these women become pregnant , they can transfer the virus to their baby .","Well , a one - size - fits - all approach , kind of like that blast of chemo , would mean we test and treat every pregnant woman in the world . || We know in certain countries in sub-Saharan Africa we can test and treat pregnant women where rates are highest . || Screening pregnant women in certain areas in the developing world is a powerful example of how precision public health can change things on a big scale ."
ready,f,med,Med15_en.conllu || Med16_en.conllu || Med3_en.conllu || Med4_en.conllu,4,1,0,0,3,1.0,0.0,0.0,affect,1.0,"But if it comes for me , I 'm going to be ready .",,,"The first : there are no ready answers for people like my kids or all the people I was working with , whether common or rare conditions . || Ready ? || Showed up the first day ready to make coffee and photocopies , but was paired with this righteous , deeply inspired attorney named Jeff Purcell , who thrust me onto the front lines from the very first day ."
good,f,phi,Phi8_en.conllu,38,0,2,17,19,0.0,0.1053,0.8947,appreciation,0.8947,,"If you start with two things that are equally good , and you improve one of them , it now must be better than the other . || Neither is better than the other , nor are they equally good .","In any easy choice , one alternative is better than the other . || In a hard choice , one alternative is better in some ways , the other alternative is better in other ways , and neither is better than the other overall . || The cereal is better for you , the do nut tastes way better , but neither is better than the other overall , a hard choice . || But I got no DVD , and because I could n't figure out which was better , I did what many of us do in hard choices : || It 's a mistake to think that in hard choices , one alternative really is better than the other , but we 're too stupid to know which , and since we do n't know which , we might as well take the least risky option .","In a hard choice , one alternative is better in some ways , the other alternative is better in other ways , and neither is better than the other overall . || You agonize over whether to stay in your current job in the city or uproot your life for more challenging work in the country , because staying is better in some ways , moving is better in others , and neither is better than the other overall . || The cereal is better for you , the do nut tastes way better , but neither is better than the other overall , a hard choice . || So I got out my yellow pad , I drew a line down the middle , and I tried my best to think of the reasons for and against each alternative . || I 'd compare them side by side , I 'd see that one was better , and the choice would be easy ."
hard,f,phi,Phi8_en.conllu,38,0,1,5,32,0.0,0.1667,0.8333,appreciation,0.8333,,Hard choices are hard not because of us or our ignorance ; they 're hard because there is no best option .,"Realizing that small choices can also be hard , may make big hard choices seem less intractable . || We also should n't think that hard choices are hard because we are stupid . || Even taking two alternatives side by side with full information , a choice can still be hard . || Hard choices are hard not because of us or our ignorance ; they 're hard because there is no best option . || That 's why the choice is hard .","How to make hard choices || Think of a hard choice you 'll face in the near future . || Chances are , the hard choice you thought of was something big , something momentous , something that matters to you . || Hard choices seem to be occasions for agonizing , hand - wringing , the gnashing of teeth . || But I think we 've misunderstood hard choices and the role they play in our lives ."
first,f,phi,Phi6_en.conllu,8,0,1,0,7,0.0,1.0,0.0,judgement,1.0,,The British Association would later be the first of the major national science organizations in the world to admit women as full members . [ External funding for science ],,"It 's the first night of the meeting , and a confrontation is about to take place that will change science forever . || "" If ' philosophers ' is taken to be too wide and lofty a term , "" he said , "" then , by analogy with ' artist , ' we may form ' scientist . ' "" This was the first time the word scientist was uttered in public , only 179 years ago . || Charles Babbage , I think known to most TEDsters , invented the first mechanical calculator and the first prototype of a modern computer . || Babbage 's difference engine was the first mechanical calculator devised to accurately compute any of these tables . || Later , Babbage 's analytical engine was the first mechanical computer in the modern sense ."
easy,f,phi,Phi8_en.conllu,4,0,0,1,3,0.0,0.0,1.0,appreciation,1.0,,,"I 'd compare them side by side , I 'd see that one was better , and the choice would be easy .","In any easy choice , one alternative is better than the other . || Imagine a world in which every choice you face is an easy choice , that is , there 's always a best alternative . || A world full of only easy choices would enslave us to reasons ."
amazing,f,phi,Phi6_en.conllu || Phi8_en.conllu,4,0,0,1,3,0.0,0.0,1.0,appreciation,1.0,,,"These tables were calculated using a fixed procedure over and over by part - time workers known as -- and this is amazing -- computers , but these calculations were really difficult .","These were brilliant , driven men who accomplished amazing things . || It was time for a new revolution , which they pledged to bring about , and what 's so amazing about these guys is , not only did they have these grandiose undergraduate dreams , but they actually carried them out , even beyond their wildest dreams . || There are amazing things you can learn as a philosopher , and all from the comfort of an armchair ."
big,f,phi,Phi6_en.conllu || Phi8_en.conllu,4,0,0,1,3,0.0,0.0,1.0,appreciation,1.0,,,We should n't think that all hard choices are big .,"And Whewell not only coined the term scientist , as well as the words anode , cathode and ion , but spearheaded international big science with his global research on the tides . || Chances are , the hard choice you thought of was something big , something momentous , something that matters to you . || Realizing that small choices can also be hard , may make big hard choices seem less intractable ."
right,f,phi,Phi8_en.conllu,3,0,0,2,1,0.0,0.0,1.0,appreciation,1.0,,,But that ca n't be right .,So maybe the right thing to say in hard choices is that they 're between equally good options .
different,f,phi,Phi6_en.conllu || Phi8_en.conllu,3,0,0,1,2,0.0,0.0,1.0,appreciation,1.0,,,"As post -Enlightenment creatures , we tend to assume that scientific thinking holds the key to everything of importance in our world , but the world of value is different from the world of science .","However , in 1809 , David Ricardo muddied the waters by arguing that the science of economics should use a different , deductive method . || Rather , the alternatives are in the same neighborhood of value , in the same league of value , while at the same time being very different in kind of value ."
great,f,phi,Phi8_en.conllu,2,0,0,2,0,0.0,0.0,1.0,appreciation,1.0,,,"The weight of one is greater , lesser or equal to the weight of the other . || One number is greater , lesser , or equal to the other .",
important,f,phi,Phi6_en.conllu,2,0,0,1,1,0.0,0.0,1.0,appreciation,1.0,,,"Charles Darwin said , "" I sometimes think that general and popular treatises are almost as important for the progress of science as original work . """,Richard Jones became an important economist who later influenced Karl Marx .
stupid,f,phi,Phi8_en.conllu,2,2,0,0,0,1.0,0.0,0.0,affect,1.0,"We also should n't think that hard choices are hard because we are stupid . || It 's a mistake to think that in hard choices , one alternative really is better than the other , but we 're too stupid to know which , and since we do n't know which , we might as well take the least risky option .",,,
heavy,f,phi,Phi8_en.conllu,1,0,0,1,0,0.0,0.0,1.0,appreciation,1.0,,,"Take any comparative question not involving value , such as which of two suitcases is heavier .",
angry,f,phi,Phi6_en.conllu,1,0,0,1,0,0.0,0.0,1.0,appreciation,1.0,,,The crowd grew angry and began to complain loudly .,
difficult,f,phi,Phi6_en.conllu,1,0,0,1,0,0.0,0.0,1.0,appreciation,1.0,,,"These tables were calculated using a fixed procedure over and over by part - time workers known as -- and this is amazing -- computers , but these calculations were really difficult .",
sure,f,phi,Phi6_en.conllu,1,1,0,0,0,1.0,0.0,0.0,affect,1.0,I 'm sure we could all be that productive without Facebook or Twitter to take up our time .,,,
about,f,phi,Phi6_en.conllu,1,0,0,1,0,0.0,0.0,1.0,appreciation,1.0,,,"It 's the first night of the meeting , and a confrontation is about to take place that will change science forever .",
silent,f,phi,Phi8_en.conllu,1,0,0,1,0,0.0,0.0,1.0,appreciation,1.0,,,"When alternatives are on a par , the reasons given to us , the ones that determine whether we 're making a mistake , are silent as to what to do .",
remarkable,f,phi,Phi8_en.conllu,1,1,0,0,0,1.0,0.0,0.0,affect,1.0,"When we choose between options that are on a par , we can do something really rather remarkable .",,,
