language,Domain,adjective,total_count,Affect_count,Judgement_count,Appreciation_count,ambiguous_count,p_Affect,p_Judgement,p_Appreciation,assigned_class,assigned_confidence,example_Affect,example_Judgement,example_Appreciation,example_ambiguous
en,Edu,small,18,1,0,2,15,0.3333,0.0,0.6667,Appreciation,0.6667,"In 1950s they were shrinking vacuum tubes , making them smaller and smaller .",,"Maybe it 's because my native state of South Carolina , which is not much smaller than present - day Hungary , once imagined a future for itself as an independent country . || The variation is very , very small .","We 've worked on small schools , we 've funded scholarships , we 've done things in libraries . || Subject matters are broken up into smaller and smaller pieces , with increasing emphasis on the technical and the obscure . || And then , when I was in tenth grade , I went to this school , Indian Springs School , a small boarding school , outside of Birmingham , Alabama . || Faced with severely limited resources , a smaller - sized child with reduced energy requirements will , in fact , have a better chance of living to adulthood . || Generalizing from small samples of data is the bread and butter of science ."
en,Edu,long,16,0,1,2,13,0.0,0.3333,0.6667,Appreciation,0.6667,,"Well , maybe he was too trusting , because he stayed where he was long after the Nazi Anschluss in Austria and even after the arrests and deportations began in Budapest .","Well , this bushman , I think , is talking about the fish that got away that was that long , but it 's a fundamental part of the play scene . || So tomorrow morning , when coincidentally we get to set our clocks back by an hour and you get that delicious extra hour of sleep , and the day seems a little longer , and a little more full of hope , think about the tremendous power of sleep .","The life - long learner || And as a consequence of that presumption , my hometown was burned to the ground by an invading army , an experience that has befallen many a Hungarian town and village throughout its long and troubled history . || Probably , Mr. Teszler had gotten some money into Swiss bank accounts because he managed to take his family first to Great Britain , then to Long Island and then to the center of the textile industry in the American South . || And that had been covered up for a long time because they always took the dropout rate as the number who started in senior year and compared it to the number who finished senior year . || He taught mechanics in a high school in Long Beach , and found that his students were no longer able to solve problems ."
en,Edu,big,14,0,1,2,11,0.0,0.3333,0.6667,Appreciation,0.6667,,It got bigger ; it contained more places .,"I learned that some infinite sets are bigger than other infinite sets , and I learned that iambic pentameter is and why it sounds so good to human ears . || School has to be bigger .","I thought that was a pretty big deal . || It 's worth noting that the first big war of the twentieth century began with an act of terrorism . || Now it turns out that fetuses are learning even bigger lessons . || If you 've been following my world , the field of brain and cognitive sciences , for the past few years , three big ideas will have come to your attention . || A second big idea is that this is the era of big data and machine learning , and machine learning promises to revolutionize our understanding of everything from social networks to epidemiology ."
en,Edu,last,14,0,1,0,13,0.0,1.0,0.0,Judgement,1.0,,""" Live each day as if it is your last , "" said Mahatma Gandhi .",,"And it was at his house that I heard for the first time Bartok 's Third Piano Concerto and learned from Mr. Teszler that it had been composed in nearby Asheville , North Carolina in the last year of the composer 's life . || And into the slow , second movement , marked "" adagio religioso , "" he incorporated the sounds of birdsong that he heard outside his window in what he knew would be his last spring ; he was imagining a future for her in which he would play no part . || I wrote a letter last week talking about the work of the foundation , sharing some of the problems . || Now , our foundation , for the last nine years , has invested in this . || You may not know this word , but it should be your biological first name and last name ."
en,Edu,low,14,0,0,1,13,0.0,0.0,1.0,Appreciation,1.0,,,"And it is important that we recognize that women still need help in school , that salaries are still significantly lower , even when controlled for job types , and that girls have continued to struggle in math and science for years .","And even if you graduate from high school , if you 're low - income , you have less than a 25 percent chance of ever completing a college degree . || If you 're low - income in the United States , you have a higher chance of going to jail than you do of getting a four - year degree . || My GPA was consistently in the low 2s . || They wanted their kids to lay low and stay safe . || Some of the effects of malnutrition during pregnancy were immediately apparent in higher rates of stillbirths , birth defects , low birth weights and infant mortality ."
en,Edu,brave,11,4,1,1,5,0.6667,0.1667,0.1667,Affect,0.6667,"It 's going to require that we 're brave enough to stand up in the face of people who try to silence or delegitimize dissenting voices . || In other words , we 're raising our girls to be perfect , and we 're raising our boys to be brave . || Our economy , our society , we 're just losing out because we 're not raising our girls to be brave . || When we teach girls to be brave and we have a supportive network cheering them on , they will build incredible things , and I see this every day .","And so those 600,000 jobs that are open right now in computing and tech , women are being left behind , and it means our economy is being left behind on all the innovation and problems women would solve if they were socialized to be brave instead of socialized to be perfect .","I tell you the story of how I ran for Congress because I was 33 years old and it was the first time in my entire life that I had done something that was truly brave , where I did n't worry about being perfect .","So a few years ago , I did something really brave , or some would say really stupid . || So in 2012 , I started a company to teach girls to code , and what I found is that by teaching them to code I had socialized them to be brave . || We can not wait for them to learn how to be brave like I did when I was 33 years old . || We have to teach them to be brave in schools and early in their careers , when it has the most potential to impact their lives and the lives of others , and we have to show them that they will be loved and accepted not for being perfect but for being courageous . || And so I need each of you to tell every young woman you know -- your sister , your niece , your employee , your colleague -- to be comfortable with imperfection , because when we teach girls to be imperfect , and we help them leverage it , we will build a movement of young women who are brave and who will build a better world for themselves and for each and every one of us ."
en,Edu,past,10,0,0,1,9,0.0,0.0,1.0,Appreciation,1.0,,,"I think that -- that 's a few years back -- I think that wave is past , and the play wave is cresting , because there is some good science .","Over the past century , average lifespan has more than doubled . || But , overwhelmingly , it 's your past performance . || Over the past century the expert has dethroned the educated generalist to become the sole model of intellectual accomplishment . || While these past weeks have been a time of national exhilaration in this country , it would be tragic if you thought this meant your job was done . || If she did n't know any better , she 'd think that her student spent the past 20 minutes just staring at the screen ."
en,Edu,bad,9,0,1,2,6,0.0,0.3333,0.6667,Appreciation,0.6667,,"It 's not developmentally appropriate , and it 's particularly bad for boys .","When I first learned the statistics , I was pretty stunned at how bad things are . || This compressed curriculum is bad for all active kids .","And if your reaction is the reaction you typically have in education , or that a lot of folks have , you might say , maybe we had a bad contractor , or maybe we needed better inspection or more frequent inspection . || You might say , "" Do the good teachers stay and the bad teacher 's leave ? "" || Not bad , except if you look at that cover , what 's missing ? || If you 're having a bad day , try this : jump up and down , wiggle around -- you 're going to feel better . || And I know that YouTube comments have a very bad reputation in the world of the Internet , but in fact , if you go on comments for these channels , what you 'll find is people engaging the subject matter , asking difficult , complicated questions that are about the subject matter , and then other people answering those questions ."
en,Edu,special,9,1,0,0,8,1.0,0.0,0.0,Affect,1.0,"I often ask them , "" Why do you want me to sing when I can not sing at all ? "" And they respond by saying , "" Because we like feeling special . """,,,"Contrary to widely held assumptions , an emphasis on action provides a special urgency to thinking . || Mediation and improvisation also assume a special place in this new pantheon . || And when making connections is of the essence , the power of technology emerges with special intensity . || Maybe there 's something special about the blue balls . || For every 100 girls in special education , there are 217 boys ."
en,Edu,afraid,9,7,0,0,2,1.0,0.0,0.0,Affect,1.0,"We ca n't be afraid of our students ' power . || "" I 'm afraid to raise my hand , I 'm afraid to ask a question , because I do n't want to be the only one who does n't understand , the only one who is struggling . || What is it that we 're afraid that this young man is going to do with this gun ? || I worried that I was afraid of commitment , or that I was scattered , or that I was self - sabotaging , afraid of my own success . || We 're also used to being beginners , because we 've been beginners so many times in the past , and this means that we 're less afraid of trying new things and stepping out of our comfort zones .",,,"I worried that I was afraid of commitment , or that I was scattered , or that I was self - sabotaging , afraid of my own success . || And then , there were the teachers , who were incredibly afraid for their own safety , so they had low expectations for the students and themselves , and they were totally unaware of their role in the destruction of the school 's culture ."
en,Edu,deep,8,0,1,0,7,0.0,1.0,0.0,Judgement,1.0,,"At the bottom of this , it says , "" It 's deeper than gender .",,"They can get deeper mastery over the material . || The Texas Tower murderer opened my eyes , in retrospect , when we studied his tragic mass murder , to the importance of play , in that that individual , by deep study , was found to have severe play deprivation . || Given this rare opportunity to start fresh , they chose liberal arts as the most compelling model because of its historic commitment to furthering its students ' broadest intellectual , and deepest ethical potential . || In the language of my students , "" Deep thought matters when you 're contemplating what to do about things that matter . "" || The specialist can dive in deep and implement ideas , while the multipotentialite brings a breadth of knowledge to the project ."
en,Edu,creative,8,1,0,0,7,1.0,0.0,0.0,Affect,1.0,"Living up to that vision is going to require that we are flexible , and it 's going to require that we 're creative .",,,"In the middle of the pyramid , you had an information processing , a bureaucracy class , and at the top of the pyramid , you had your owners of capital and your entrepreneurs and your creative class . || Do we actually attempt to invert the pyramid , where you have a large creative class , where almost everyone can participate as an entrepreneur , an artist , as a researcher ? || And you 'll see this course is to investigate the human state of play , which is kind of like the polar bear - husky state and its importance to creative thinking : "" to explore play behavior , its development and its biological basis ; to apply those principles , through design thinking , to promote innovation in the corporate world ; and the students will work with real - world partners on design projects with widespread application . "" || College presidents are not the first people who come to mind when the subject is the uses of the creative imagination . || And this is Amy Ng , a magazine editor turned illustrator , entrepreneur , teacher and creative director ."
en,Ent,more,35,0,1,2,32,0.0,0.3333,0.6667,Appreciation,0.6667,,"These are out there , but it 's more of the personal that interests me , and this is who I am .","We love the idea that words , when pronounced , are little more than pure information , but they evoke physical action in the real world that helps us do work . || Now , unfortunately this is more of the face that we see in everyday life now as we try to tackle urgent problems .","I 'd like to talk a little bit more about the brain , because I know you like that here at TED , so if you just give me a minute here , okay . || Grown - up Muslims can do more push-ups than baby Muslims . || Now , I have a plan for this , and it entails convincing more people , including all of you , to spend more time playing bigger and better games . || We do achieve more in game worlds . || They expect one billion more gamers in the next decade ."
en,Ent,right,33,1,1,5,26,0.1429,0.1429,0.7143,Appreciation,0.7143,You do n't think I was right ?,It 's all right .,"Actually , that whole row is n't right . || So that was kind of a clue that things were n't right . || What do you really care about that is n't right where you live ? || I do n't think what you did was right . || I like this version the best , because some of the boys are older and some are younger , and to me , this one , like Goldilocks 's porridge , is just right .","And let me tell you , America is majestic , right ? || But there 's variance within this group and it 's not efficient to go after all of them , right ? || There 's an ancient and universal concept that words have power , that spells exist , and that if we could only pronounce the right words , then -- whoosh ! -- you know , an avalanche would come and wipe out the hobbits , right ? || Raise your right hand . || They string them up in the right sequence , and then they send them back to you via FedEx ."
en,Ent,old,25,5,0,0,20,1.0,0.0,0.0,Affect,1.0,"When I was four years old , I have a vivid memory of finding two pinpoint scars on my ankle and asking my dad what they were . || I was seven years old . And the tool that I used to access virtual reality was the Evel Knievel stunt cycle . || I am 12 years old . || This was an illustration about my camp experience when I was 11 years old , and how I went to a YMCA camp , Christian camp , and basically by the end , I had made my friends hate me so much that I hid in a bunk , They could n't find me , they sent a search party , and I overheard people saying they wish I had killed myself -- jumped off Bible Peak . || "" I am 23 years old .",,,"These guys like to hate via a seemingly nice organization , like a church or a nonprofit , and they oftentimes like to speak in an old - timey voice . || This is a piece of graffiti in my old neighborhood in Berkeley , California , where I did my PhD on why we 're better in games than we are in real life . || And the only people in there is a bartender and an old man nursing a beer . || And suddenly the old man turns to him and goes , "" You see this bar ? || It 's old - school demographics ."
en,Ent,amazing,23,0,0,8,15,0.0,0.0,1.0,Appreciation,1.0,,,"' Cause this is amazing ! "" || About four people probably read it , and they tell me , "" You have n't updated . "" I 'm probably going to get people telling me I have n't updated . But this is amazing , because I can go back to a day -- to April 2005 , and say , what was I doing this day ? || And that was amazing , to be able to know that we had empowered that , and that blogging was something that she felt comfortable doing , and the idea that blogging does n't have to be scary , that we do n't always have to be attack of the blogs , that we can be people who are open , and wanting to help and talk to people . || So this is pretty amazing , is n't it ? || And one day they featured a video of my band on the homepage , which was amazing -- we got a bunch of new fans .","This is an amazing story and adventure for you to go on . || We 've got all these amazing gamers , we 've got these games that are kind of pilots of what we might do , but none of them have saved the real world yet . || We have all these amazing superpowers : blissful productivity , the ability to weave a tight social fabric , this feeling of urgent optimism and the desire for epic meaning . || It was all I could do to hold onto this amazing creature . || Some of them would hold their ground , others would slink into the back of the tank and disappear in the rocks , and one in particular , this amazing animal ..."
en,Ent,long,18,0,0,1,17,0.0,0.0,1.0,Appreciation,1.0,,,You 've got black smokers going all over the place and chimneys that have tube worms that might be eight to 10 feet long .,"First of all , let me say , we 've come a long , long way . || Here we 've got a little bit of long - term memory , so , you know that night you want to forget , when you got really drunk ? || I decided to use a type of DNA origami , where you take a long strand of DNA and fold it into whatever shape or pattern you might want . || These short DNA sequences are what are going to fold the long strand into this shape that we want to make . || I mix them together , add a little bit of salt water , and then add this long strand I was telling you about , that I 've stolen from a virus ."
en,Ent,human,17,1,0,0,16,1.0,0.0,0.0,Affect,1.0,"So , it 's a machine , but through this machine we become more compassionate , we become more empathetic , and we become more connected . And ultimately , we become more human .",,,"Can you imagine , every human being is carrying that equipment , even Paris Hilton ? || So kitty cat , meow , happy happy happy , human beings , screwed . || This picture pretty much sums up why I think games are so essential to the future survival of the human species . || 5.93 million years ago was when our earliest primate human ancestors stood up . || So when we talk about how much time we 're currently investing in playing games , the only way it makes sense to even think about it is to talk about time at the magnitude of human evolution , which is an extraordinary thing ."
en,Ent,deep,14,0,1,0,13,0.0,1.0,0.0,Judgement,1.0,,They also live deep .,,"I always dreamt that , when I had my final breakdown , it would be because I had a deep Kafkaesque existentialist revelation , or that maybe Cate Blanchett would play me and she would win an Oscar for it . || You probably see the sense of urgency , a little bit of fear , but intense concentration , deep , deep focus on tackling a really difficult problem . || And as you go deeper , that lovely , blue water you were launched in gives way to darker and darker blue . || And it 's my hope that some of these "" hope spots "" can be in the deep ocean , an area that has historically been seriously neglected , if not abused . The term "" deep six "" comes to mind : || "" If it 's too big or too toxic for a landfill , deep six it ! """
en,Ent,true,13,0,2,8,3,0.0,0.2,0.8,Appreciation,0.8,,"It 's true . || And these are not characteristics of old media , and they 're barely true of the media of today , but they will define the entertainment of the future .","But actually , according to my research at the Institute for the Future , actually the opposite is true . || This is true . || And so , recently , scientists have suggested that Herodotus ' crazy story is actually true . || So this crazy story might be true . || So when you come to the game , you sign up , tell us where you live , and then we give you real - time news videos , data feeds that show you exactly how much oil costs , what 's not available , how food supply is being affected , how transportation is being affected , if schools are closed , if there 's rioting , and you have to figure out how you would live your real life as if this were true .",And that 's where I think we just start to scratch the surface of the true power of virtual reality . || And what 's true for sensory information is true for information generally . || What 's true for color is also true for complex perceptions of motion .
en,Ent,young,13,4,0,1,8,0.8,0.0,0.2,Affect,0.8,"And thank goodness we were just too young , rebellious and contrarian at the time . || We all want to be stars -- celebrities , singers , comedians -- and when I was younger , that seemed so very , very hard to do . || When I was younger , I played piano ; later , I took up guitar . || I remember being young , I would walk down the hallways of my school and I would tap rhythms to myself on my leg with my hands , or tapping my teeth .",,"The 18 to 49 demo has had a huge impact on all mass media programming in this country since the 1960s , when the baby boomers were still young .","The average young person today in a country with a strong gamer culture will have spent 10,000 hours playing online games by the age of 21 . || So , we have an entire parallel track of education going on , where young people are learning as much about what it takes to be a good gamer as they 're learning about everything else in school . || And so , now what we 're looking at is an entire generation of young people who are virtuoso gamers . || I would like to invite all of you to please share this game with young people , anywhere in the world , particularly in developing areas , who might benefit from coming together to try to start to imagine their own social enterprises to save the world . || But I think women are actually going to be -- ironically enough -- responsible for driving a stake through the heart of cheesy genre categories like the "" chick flick "" and all these other genre categories that presume that certain demographic groups like certain things -- that Hispanics like certain things , that young people like certain things ."
en,Ent,important,12,1,0,5,6,0.1667,0.0,0.8333,Appreciation,0.8333,So -- the life record of a blog is something that I find incredibly important .,,"I think that media companies are going to hire a lot more women , because they realize this is important for their business , and I think that women are also going to continue to dominate the social media sphere . || But what 's important here is the creativity that it inspired amongst this techie , geeky Internet culture . || These people are reaching thousands , if not millions , of readers , and that 's incredibly important . || It 's this visual cue that is so important to what we do . || If you look at my driver 's license , I have the same look , and it 's a pretty disturbing thing , but it 's something that is really important .","The important thing is we can write it in a high - level language . || But there 's no unemployment in World of Warcraft ; no sitting around , wringing your hands -- there 's always something specific and important to be done . || So you may be asking , well why is it important that I know what entertains people ? || This is a very important thing to know about people . || But what 's important is that an individual or a group of tastemakers took a point of view and they shared that with a larger audience , accelerating the process ."
en,Ent,beautiful,12,0,1,0,11,0.0,1.0,0.0,Judgement,1.0,,It 's beautiful .,,"I grew up in Mobile , Alabama -- somebody 's got to be from Mobile , right ? -- and Mobile sits at the confluence of five rivers , forming this beautiful delta . || Anyway , one tree is situated right next to a beautiful coral reef . || And there 's a beautiful reef , very complex reef , with lots of animals , including a lot of octopus . || And out of the tops of these tube worms are these beautiful red plumes . || There 's this beautiful bay , lots of soft corals and stomatopods . """
en,Ent,nervous,12,7,0,0,5,1.0,0.0,0.0,Affect,1.0,"Over the past couple of days , as I 've been preparing for my speech , I 've become more and more nervous about what I 'm going to say and about being on the same stage as all these fascinating people . || And -- So I was getting pretty nervous and , you know , I did n't know that Chris sits on the stage , and that 's more nerve - racking . || It was a nervous habit , and I was always nervous . || I would go back every week until I was n't nervous anymore . || And then accounting for things like my shaky voice , and I knew I would be singing about a half - octave higher than normal , because I was nervous .",,,"It was a nervous habit , and I was always nervous . || Now , when you experience fear , your sympathetic nervous system kicks in . || I mean , your nervous system is an idiot . || That only seems authentic when I have stage fright , and the more nervous I was , the better the song would be . || They did n't have to feel bad for me because I was nervous , they could experience that with me , and we were all one big happy , nervous , uncomfortable family ."
en,Ent,enough,11,0,0,3,8,0.0,0.0,1.0,Appreciation,1.0,,,"This is not science , but this was enough for me to be really interested in how we have evolved and how we can trace our line . || Like , in what world is this not enough ? || But after a couple of years , just writing songs was n't enough . I had all these stories and ideas , and I wanted to share them with people , but physiologically , I could n't do it .","And they do it because they do n't have enough information . || Three billion hours a week is not nearly enough game play to solve the world 's most urgent problems . || They would leave Lydia , and they would go out in search of a new place to live , leaving behind just enough people to survive on the resources that were available , and hopefully to take their civilization somewhere else where they could thrive . || The oil shortage is fictional , but we put enough online content out there for you to believe that it 's real , and to live your real life as if we 've run out of oil . || Fair enough question ."
en,Ent,able,11,5,1,1,4,0.7143,0.1429,0.1429,Affect,0.7143,"These are the kind of molecular programs we want to be able to write . || We want to be able to build technological artifacts that are maybe good for the world . || We 're able to connect with people quite freely and to redefine ourselves online . || I 'm just happy I was able to add it up to 100 , because that 's my skill set . || By thinking about my audience , by embracing and exploiting my problem , I was able to take something that was blocking my progress , and turn it into something that was essential for my success .","It 's not there yet , but in a couple years , there will be so many systems and tools for them to just make a living online , and if they 've got a podcast that 's starting to take off , but they 're not able to make money on it yet , that 's happening and they 're going to be paid .","On the upside , the man that I worshipped as a child , the man that I wanted to become as an adult , I was finally able to get his autograph .","So you have these people aging , and now this is them today , or last year . And that 's a powerful thing to have , to be able to track this . || But the big thing that really influenced us was , her sister wrote to me , and she said -- and she wrote on this blog -- that writing her blog during the last couple of months of her life was probably the best thing that had happened to her , and being able to talk to people and to share what was going on , and being able to write and receive comments . || And that was amazing , to be able to know that we had empowered that , and that blogging was something that she felt comfortable doing , and the idea that blogging does n't have to be scary , that we do n't always have to be attack of the blogs , that we can be people who are open , and wanting to help and talk to people ."
en,Ent,simple,9,0,2,1,6,0.0,0.6667,0.3333,Judgement,0.6667,,"Sometimes it 's as simple as "" Once upon a time ... "" || And it may seem simple , it may seem dull by itself , but it gives tempo and heartbeat .","But to see something like the $ 100 computer is amazing , because blogging software is simple .","So before I start , I would like to thank the makers of Lamotrigine , Sertraline , and Reboxetine , because without those few simple chemicals , I would not be vertical today . || We have a successful company because of timing , and because of perseverance , but it 's simple stuff -- it 's not rocket science . || So , one aspect of string theory , at its simplest form , is this : matter is made up of atoms , which are made up of protons and neutrons and electrons , which are made up of quark . || Michio Kaku once explained this in a lecture called , "" The Universe in a Nutshell , "" where he says , "" String theory is the simple idea that the four forces of the universe -- gravity , the electromagnetic force , and the two strong forces -- can be viewed as music . || So for us , seeing color is one of the simplest things the brain does ."
en,Ent,green,9,0,0,1,8,0.0,0.0,1.0,Appreciation,1.0,,,"Now , these people will be at a stoplight , they 'll wait for the light to turn green and when it does , they yell , "" Go back to your own country ! ""","Now , I narrowed it down to the gray one , the green one , and , say , the orange one . || How many people think it 's the green one ? || Here is the green one . || Now I want you to look at that dot between the green and the red . || Your brain is learning , and it 's learning that the right side of its visual field is under red illumination ; the left side of its visual field is under green illumination ."
en,Ent,nice,8,1,0,0,7,1.0,0.0,0.0,Affect,1.0,And it starts getting really nice .,,,"We just do n't have the bandwidth , and for people who say , oh , they 're having a nice day , they 're perfectly fine , they 're more insane than the rest of us . || These guys like to hate via a seemingly nice organization , like a church or a nonprofit , and they oftentimes like to speak in an old - timey voice . || But we decided , why not launch our own poster campaign that says nice things about Muslims , while promoting the movie . || If you change the spell again , you change the sequence again , you get really nice , 130 - nanometer triangles . || All of the animals are gone , they 're dead , and the chimneys are still there creating a really nice ghost town , an eerie , spooky ghost town , but essentially devoid of animals , of course ."
en,Ent,short,8,0,1,0,7,0.0,1.0,0.0,Judgement,1.0,,It 's short .,,"These short DNA sequences are what are going to fold the long strand into this shape that we want to make . || You cool it down to room temperature , and as you do , those short strands do the following thing : each one of them binds that long strand in one place , and then has a second half that binds that long strand in a distant place , and brings those two parts of the long strand close together so they stick together . || In the short - term , have you made me want to know what will happen next ? || An example would be in "" Finding Nemo , "" in the short tension , you were always worried , would Dory 's short - term memory make her forget whatever she was being told by Marlin . || So , the short story about my blog : it started in 2001 , I was 23 ."
en,Ent,gray,8,0,0,2,6,0.0,0.0,1.0,Appreciation,1.0,,,The four blue tiles on the left are gray . || The seven yellow tiles on the right are also gray .,"Silk , gray , those beautiful buttons . || Now , I narrowed it down to the gray one , the green one , and , say , the orange one . || Show of hands : how many people think it 's the gray one ? || And here is the gray one . || Here you see four gray tiles on your left , seven gray tiles on the right ."
en,Ent,possible,7,0,1,4,2,0.0,0.2,0.8,Appreciation,0.8,,"An epic win is an outcome that is so extraordinarily positive , you had no idea it was even possible until you achieved it .","Gamers always believe that an epic win is possible , and that it 's always worth trying , and trying now . || Could this be possible , that suddenly our media landscape will become a feminist landscape ? || This was possible because of the easy nature of blogging tools . || That 's all he does now , and this is something that blogs have made possible .","And I started to notice a few things that make epic wins so possible in online worlds . || This is a huge problem , because it means that the same image could have an infinite number of possible real - world sources ."
en,His,great,48,0,2,1,45,0.0,0.6667,0.3333,Judgement,0.6667,,"But they were great , nonetheless . || They are our great - great - great - great - great - great -- continue that for about 7,000 times -- grandparents , and so that means we literally all are biological cousins as well , and estimates vary , but probably the farthest cousin you have on Earth is about a 50th cousin .","The job ahead of us , the task ahead of us , the challenge ahead of us is great .","He had n't always been a Holocaust denier , but in the late ' 80s , he embraced it with great vigor . || In high school , let 's just say I was n't a great student . || Great person . || I cite the definition given by the Algerian sociologist Marieme Helie Lucas , and she says that fundamentalisms , note the "" s , "" so within all of the world 's great religious traditions , "" fundamentalisms are political movements of the extreme right which in a context of globalization manipulate religion in order to achieve their political aims . "" || I 'm painfully aware that there has been an increase in discrimination against Muslims in recent years in countries like the U.K. and the U.S. , and that too is a matter of grave concern , but I firmly believe that telling these counter - stereotypical stories of people of Muslim heritage who have confronted the fundamentalists and been their primary victims is also a great way of countering that discrimination ."
en,His,old,31,2,4,1,24,0.2857,0.5714,0.1429,Judgement,0.5714,"I was selected as a White House Fellow when I was 24 years old . || It all began when I was only six years old , and my father taught me that mysterious art of keeping score while listening to baseball games -- so that when he went to work in New York during the day , I could record for him the history of that afternoon 's Brooklyn Dodgers game .","They are over 2,000 years old . || But I 'm talking about him because when he was four months old , my foreign editor forced me to go back to Baghdad where I had been reporting all throughout the Saddam regime and during the fall of Baghdad and afterwards , and I remember getting on the plane in tears , crying to be separated from my son , and while I was there , a quite famous Iraqi politician who was a friend of mine said to me , "" What are you doing here ? || His mother died when he was only nine years old ; his only sister , Sarah , in childbirth a few years later ; and his first love , Ann Rutledge , at the age of 22 . || But only as he grew older did he develop a certain consolation from an ancient Greek notion -- but followed by other cultures as well -- that if you could accomplish something worthy in your life , you could live on in the memory of others .",My mother was 15 years old when I was born .,"Yes , that Geoffrey Chaucer , in 1391 , to his little Lewis , his 11 - year - old son . || The people who lived in the myriads of towns and villages and cities on the Eastern front , who watched their neighbors be rounded up -- men , women , children , young , old -- and be marched to the outskirts of the town to be shot and left dead in ditches . || And as we 're moving up the stairs , getting closer to the sculpture , my oldest son , who 's nine , says , "" Dad , how come he gets to ride , and they have to walk ? "" || There was this amazing , amazing , fantastic , beautiful , smart woman , four years older than me , and I wanted to go out with her . || You remember old - school cameras , where when you took a picture , you actually had to focus ."
en,His,more,31,0,0,1,30,0.0,0.0,1.0,Appreciation,1.0,,,"So why is my story more than just the story of a quirky , long , six - year , difficult lawsuit , an American professor being dragged into a courtroom by a man that the court declared in its judgment was a neo - Nazi polemicist ?","Here was a man who said , "" More people died in Senator Kennedy 's car at Chappaquiddick than died in gas chambers at Auschwitz . "" || Historically speaking , in research on these kinds of paintings , I can find out more about the lace that the woman is wearing in this painting -- the manufacturer of the lace -- than I can about this character here , about his dreams , about his hopes , about what he wanted out of life . || The virus then hopped the Canadian border , infecting more than 100 children in Quebec . || An effective vaccine against it has been available for more than half a century , but many of the kids involved in the Disneyland outbreak had not been vaccinated because their parents were afraid of something allegedly even worse : autism . || To make the case to the National Health Service that more resources were needed for autistic children and their families ,"
en,His,big,20,0,0,3,17,0.0,0.0,1.0,Appreciation,1.0,,,But actually the story is bigger . || So put that library at the bottom of that ship -- that 's how big the thing was going to be . || And the map is actually a little bit bigger .,"And in this book , little Lewis would know the big idea . || Having thought that through , I decided denial was not going to be on my agenda ; I had bigger things to worry about , to write about , to research , and I moved on . || We had a big dance at the White House . || Yeah , there 's actually a lot more than these five , these are the big ones . || There is no bigger data than the fossil record , and we mine every bit of it ."
en,His,large,16,0,0,2,14,0.0,0.0,1.0,Appreciation,1.0,,,"It was almost as if the hole in his heart was so large that even the love of a family , without work , could not fill it . || The next figure looms larger , and you see a figure hurtling from one side to the next .","There is large display ones . || As a result , autism became a source of shame and stigma for families , and two generations of autistic children were shipped off to institutions for their own good , becoming invisible to the world at large . || If the CDC 's current estimate , that one in 68 kids in America are on the spectrum , is correct , autistics are one of the largest minority groups in the world . || And the thing that struck me the most , that broke my heart , was walking down the main street of Sarajevo , where my friend Aida saw the tank coming 20 years ago , and in that road were more than 12,000 red chairs , empty , and every single one of them symbolized a person who had died during the siege , just in Sarajevo , not in all of Bosnia , and it stretched from one end of the city to a large part of it , and the saddest for me were the tiny little chairs for the children . || When I meet her in her office in Herat , she enters surrounded by four large men with four huge guns ."
en,His,important,15,0,1,2,12,0.0,0.3333,0.6667,Appreciation,0.6667,,"And I do think it is important , and I 'll give you five reasons why , really quickly .","And I remember thinking in that moment that the bombers made headlines here two years before but this night and these people are as important a story . || And at the end of the day , what could possibly be more important than that ?","This is a really important chapter to me . || Painting is a visual language where everything in the painting is meaningful , is important . || My father 's country taught me in that dark decade of the 1990s that the popular struggle against Muslim fundamentalism is one of the most important and overlooked human rights struggles in the world . || She 's been in the post since 2008 and actually opened an office to investigate cases of violence against women , which she says is the most important area in her mandate . || For each of them soon came to understand that he possessed an unparalleled array of emotional strengths and political skills that proved far more important than the thinness of his external résumé ."
en,His,wrong,12,0,1,4,7,0.0,0.2,0.8,Appreciation,0.8,,Lorna and Judith realized that Kanner had been as wrong about autism being rare as he had been about parents causing it .,"For most of the 20th century , clinicians told one story about what autism is and how it was discovered , but that story turned out to be wrong , and the consequences of it are having a devastating impact on global public health . || Then Andrew Wakefield came along to blame the spike in diagnoses on vaccines , a simple , powerful , and seductively believable story that was as wrong as Kanner 's theory that autism was rare . || But both views are dead wrong . || I admitted that I 'd actually had a fantasy -- kind of a dark fantasy -- of writing a letter about everything that was wrong with the world and then lighting myself on fire on the White House steps .","For deniers to be right , who would have to be wrong ? || Who else would have to be wrong ? || But above all , who would have to be wrong ? || The first that one sometimes finds on the right suggests that most Muslims are fundamentalist or something about Islam is inherently fundamentalist , and this is just offensive and wrong , but unfortunately on the left one sometimes encounters a discourse that is too politically correct to acknowledge the problem of Muslim fundamentalism at all or , even worse , apologizes for it , and this is unacceptable as well . || Why the "" wrong side of the tracks "" is usually the east side of cities"
en,His,right,11,0,1,0,10,0.0,1.0,0.0,Judgement,1.0,,"Julius was a man who envisioned a Vatican that would be eternally relevant through grandeur and through beauty , and he was right .",,"Right . || For deniers to be right , who would have to be wrong ? || It may go by names : "" alt - right , "" "" National Front "" -- pick your names . || A quiz show recently appeared in "" The New Yorker "" where the host of the quiz show is saying to one of the contestants , "" Yes , ma'am , you had the right answer . || And on the right - hand side of him is an African - American walking ."
