en_form,en_sense,de_aligned_forms,de_aligned_counts,example_en_sentence,example_de_sentence,n_instances,total_en_form_instances,pct_of_form
complete,Appreciation,vollständig,vollständig:1,"In 1967 , 13 years after he figured that out , he figured out something else , which is that the democratic circle was not complete by just giving the people the classics .","13 Jahre später , in dem Jahr 1967 , kam er auf den Gedanken , dass der demokratische Kreislauf nicht vollständig sei , wenn man dem Publikum nur die Klassiker biete .",1,1,1.0
complex,Appreciation,"komplex, komplexer","komplex:1, komplexer:1","It 's a perennial pastime , especially around election time , but the world is complex .","Es ist der liebste Zeitvertreib , vor allem rund um die Wahlen , aber die Welt ist komplex .",2,3,0.6667
complex,Judgement,komplex,komplex:1,So it 's incredibly complex .,So unglaublich komplex .,1,3,0.3333
complicated,Appreciation,kompliziert,kompliziert:3,"And this was complicated because we needed to take into account the fact that the network structure , the architecture of the ties , was changing across time .","Und das war kompliziert , weil wir die Tatsache in Betracht ziehen mussten , dass die Netzwerkstruktur , die Architektur dieser Verbindungen , sich über die Zeit verändern würde .",3,3,1.0
complicit,Affect,(NULL),(NULL):1,"Sometimes they 're going to point out ways in which systems that we have created , or in which we are complicit , contribute to inequity .","Manchmal werden sie uns zeigen , wie von uns erschaffene Systeme oder Systeme , an denen wir beteiligt sind , zu der Ungleichheit beizutragen .",1,1,1.0
conceivable,Appreciation,denkbar,denkbar:1,"And we know that it 's possible to move along this continuum towards something quite a bit more idyllic , to a place where a conference like this is even conceivable .","Und wir wissen , dass es möglich ist , sich auf diesem Kontinuum auf etwas wesentlich idyllischeres hin zu bewegen , zu einem Ort , wo sogar eine Zusammenkunft wie diese hier denkbar ist .",1,1,1.0
concerned,Affect,"besorgt, (NULL), ,, Gefühl, Sorge, beschäftigt, besorgter, betrifft, beunruhigt","besorgt:3, (NULL):1, ,:1, Gefühl:1, Sorge:1, beschäftigt:1, besorgter:1, betrifft:1, beunruhigt:1","And I was -- I usually travel alone when I do my work , but I did this -- I hosted a program for Discovery , and when I went down with the team , I was quite concerned about going in with a whole bunch of people , especially into the Huaorani , deep into the Huaorani tribe .","Normalerweise reise ich während meiner Arbeit allein . Doch ich habe einmal ein Programm in dem Team für Discovery moderiert . Ich hatte ein ungutes Gefühl , mit sovielen Leuten einen Stamm zu besuchen - und dann auch noch die Huaorani .",11,17,0.6471
concerned,Appreciation,"(NULL), Gedanken, besorgt, betroffen","(NULL):2, Gedanken:1, besorgt:1, betroffen:1","They are the same , as far as your eye is concerned .","Sie sind gleich , soweit es Ihr Auge anbelangt .",5,17,0.2941
concerned,Judgement,(NULL),(NULL):1,"Sadiye became concerned , and she called the prescribing doctor who very helpfully advised lots of fluids for the nausea .",Sadiye rief besorgt den behandelndenArzt an .Der riet mir sehr hilfreich zu viel Flüssigkeit gegen die Übelkeit .,1,17,0.0588
concrete,Affect,etwas,etwas:1,And it turns out that making it feel more concrete can actually be a very positive tool to use in getting people to save more .,"Und es stellt sich heraus , dass wenn man es schafft , dass etwas sich konkret anfühlt , es ein sehr gutes Werkzeug ist , damit man die Menschen dazu bringt mehr zu sparen .",1,1,1.0
condensable,Judgement,kondensiert Atmosphäre,kondensiert Atmosphäre:1,"It 's a condensable in the atmosphere , and so recognizing this circumstance brought to the fore a whole world of bizarre possibilities .",Es kondensiert in der Atmosphäre und diese Erkenntnis eröffnete eine ganze Welt voll bizarrer Möglichkeiten .,1,1,1.0
conducive,Appreciation,förderlich,förderlich:1,That condition is not conducive to performing folk music .,Dieser Zustand ist nicht förderlich bei Konzerten .,1,1,1.0
confident,Affect,",, optimistisch",",:1, optimistisch:1","We felt pretty confident leaving the courtroom that day , but I could never have anticipated the outcome : nine to zero .","Bei dem Verlassen des Saals waren wir sehr optimistisch , aber wir hätten das Ergebnis niemals vorausgeahnt : 9:0 .",2,2,1.0
conflicted,Appreciation,uneins,uneins:1,"And when our kids threatened to walk out , a lot of the adults in our community were really conflicted , too .","Als unsere Schüler Protest androhten , waren auch viele Erwachsene in unserer Gemeinschaft uneins .",1,1,1.0
confused,Affect,"(NULL), verwirrt","(NULL):1, verwirrt:1","And then I got really confused , because I thought it was relatively easy at that age to just give people the hormones of the gender in which they were affirming .","Und dann war ich sehr verwirrt , denn ich dachte , es wäre in diesem Alter relativ leicht , den Leuten einfach Hormone zu geben , je nachdem , welches Geschlecht sie für sich bestätigten .",2,2,1.0
confusing,Judgement,verwirrend,verwirrend:1,"That sometimes shows up in the first decade of life , but it can be very confusing for parents , because it is quite normative for children to act in a cross -gender play and way , and , in fact , there are studies that show that even 80 percent of children who act in that fashion will not persist in wanting to be the opposite gender at the time when puberty begins .","Das zeigt sich manchmal innerhalb der ersten zehn Jahre , aber es kann für Eltern sehr verwirrend sein , denn es ist durchaus normal , dass Kinder sich auf spielerische Art gegengeschlechtlich Verhalten . Es gibt sogar Studien , die zeigen , dass bis zu 80 Prozent der Kinder , die sich so verhalten , nicht an dem Wunsch festhalten , dem anderen Geschlecht anzugehören , sobald die Pubertät beginnt .",1,1,1.0
congenial,Appreciation,Leuten gut gefällt,Leuten gut gefällt:1,"Well , there are a number of political reasons why people have found it congenial .","Nun gut , es gibt eine Reihe politischer Gründe dafür , dass sie den Leuten gut gefällt .",1,1,1.0
conscious,Affect,Bewusstsein,Bewusstsein:1,"Well , it is the most important aspect of our lives for a very simple , logical reason , namely , it 's a necessary condition on anything being important in our lives that we 're conscious .","Es ist der wichtigste Aspekt unseres Lebens aus einem sehr einfachen , logischen Grund : Bei Bewusstsein zu sein , ist eine notwendige Bedingung für alles Wichtige in unserem Leben .",1,5,0.2
conscious,Appreciation,"bewusst, bewusst ,","bewusst:1, bewusst ,:1","Well , if you go back to those psychologists and philosophers , a lot of them have said that babies and young children were barely conscious if they were conscious at all .","Gehen wir doch zurück zu diesen Psychologen und Philosophen , viele von ihnen haben gesagt , dass sich Babies und kleine Kinder kaum bewusst seien , wenn sie sich überhaupt bewusst seien .",2,5,0.4
conscious,Judgement,"Bewusstsein, sich bewusst","Bewusstsein:1, sich bewusst:1",It comes completely conscious .,Es ist vollkommen bei Bewusstsein .,2,5,0.4
conservative,Affect,konservativer,konservativer:1,"I think that actually this type of urban design , which became more prevalent in the 1970s and 1980s -- I think there is a relationship between that and the country becoming more conservative under Ronald Reagan .","Ich glaube in der Tat , dass diese Art der Stadtentwicklung , wie sie sich in den 1970ern und 1980ern durchsetze , in einem Zusammenhang damit steht , dass das Land unter Ronald Reagan konservativer wurde .",1,3,0.3333
conservative,Appreciation,konservativer,konservativer:1,"But surgeons in these eras are a little bit more conservative than their bold , trephinating ancestors .","Aber die Chirurgen in diesen Zeitaltern waren ein bisschen konservativer als ihre mutigen , trepanierenden Vorfahren .",1,3,0.3333
conservative,Judgement,Konservativer,Konservativer:1,"He rides to work on a bike , but at the same time , he 's in some ways a conservative .",Er fährt mit dem Fahrrad zu der Arbeit und ist trotzdem in mancher Hinsicht ein Konservativer .,1,3,0.3333
consistent,Appreciation,"beständig, einheitlich, gleich, konsistenter","beständig:1, einheitlich:1, gleich:1, konsistenter:1","Industrial production , the whole point of industrial production is to provide a standardized , exact service model that is consistent every single time , and I 'm really thankful that my smartphone is made using industrial production .","Industrielle Produktion , der Sinn industrieller Produktion ist es , standardisierte , genaue Dienstleistungsmodelle anzubieten , die jedesmal gleich aussehen , und ich bin wirklich dankbar , dass mein Smartphone aus industrieller Produktion stammt .",4,4,1.0
constant,Appreciation,konstant,konstant:1,"When those measurements are made , instead what we find is that the speed is basically constant , as a function of distance .","Wenn diese Messungen vorgenommen werden , stellen wir stattdessen fest , dass die Geschwindigkeit als eine Funktion der Distanz mehr oder weniger konstant ist .",1,2,0.5
constant,Judgement,konstant,konstant:1,"If it 's constant , that means that the stars out here are feeling the gravitational effects of matter that we do not see .","Wenn sie konstant ist , bedeutet dass , dass die Sterne hier draußen Schwerkraft ausgesetzt sind , die von Materie generiert wird , die wir nicht sehen können .",1,2,0.5
constraining,Appreciation,einschränkt,einschränkt:1,"We know that our doctors and nurses and even social workers are n't enough , that the ticking minutes of health care are too constraining .","Wir wissen , dass unsere Ärzte und Krankenpfleger und selbst Sozialarbeiter nicht genug sind , dass die ablaufende Zeit der Gesundheitsfürsorge zu sehr einschränkt .",1,1,1.0
contextual,Appreciation,kontextbezogen,kontextbezogen:1,"You see , scarcity is contextual , and technology is a resource - liberating force .","Knappheit ist nämlich kontextbezogen , und Technologie ist eine Ressourcen befreiende Kraft .",1,1,1.0
contrary,Appreciation,widersprechen,widersprechen:1,Dr. Bostrom 's basic argument is that such systems will eventually have such an insatiable thirst for information that they will perhaps learn how to learn and eventually discover that they may have goals that are contrary to human needs .,"Dr. Bostroms Hauptargument ist , dass solche Systeme schlussendlich einen unstillbaren Informationshunger haben , dass sie vielleicht lernen werden , zu lernen , und schließlich entdecken , dass sie Ziele haben , die den menschlichen Bedürfnissen widersprechen .",1,1,1.0
controversial,Appreciation,gestritten,gestritten:1,This should n't be controversial .,Darüber sollte nicht gestritten werden .,1,2,0.5
controversial,Judgement,kontrovers,kontrovers:1,"But it 's become controversial and nebulous , because we 've stopped talking about what working for social justice actually looks like .","Aber es ist kontrovers und nebulös geworden , denn wir reden nicht mehr darüber , wie die Arbeit für soziale Gerechtigkeit eigentlich aussieht .",1,2,0.5
convenient,Affect,praktisch,praktisch:1,"A cardiologist developed this drug without regard to race or genetics , but it became convenient for commercial reasons to market the drug to black patients .","Ein Kardiologe hat dieses Mittel ungeachtet der Rasse oder Genetik entwickelt , einfach weil es praktisch wurde , das Mittel , aus kommerziellen Gründen , an schwarze Patienten zu verkaufen .",1,2,0.5
convenient,Appreciation,praktisch,praktisch:1,"And he said , "" That 's convenient . ""","Und er sagte "" "" Das ist praktisch . """,1,2,0.5
convinced,Affect,"überzeugt, ,","überzeugt:3, ,:1",I 'm convinced of it .,Davon bin ich überzeugt .,4,5,0.8
convinced,Appreciation,überzeugter,überzeugter:1,"But the second part of it -- and the older I get , the more convinced I am that that 's true . It 's amazing what people will say when they know how the story turned out .","Aber der zweite Grund -- und je älter ich werde , desto überzeugter bin ich , dass er zutrifft -- ist , dass es erstaunlich ist , was Menschen sagen , wenn sie wissen , wie die Geschichte endet .",1,5,0.2
convincing,Judgement,überzeugend,überzeugend:1,It 's kind of convincing when he talks and when she talks too .,Beide sind ziemlich überzeugend .,1,1,1.0
cool,Affect,cool,cool:3,"It was n't so much that I was planning to teach them with comics , it was more that I was hoping comics would make them think that I was cool .","Ich wollte sie nicht mit Comics unterrichten . Ich wollte eher , dass ich mit Comics cool wirke .",3,18,0.1667
cool,Appreciation,"cool, abgefahren, supercool, toll","cool:9, abgefahren:1, supercool:1, toll:1",A couple things that are kind of cool .,"Ein paar Dinge , die irgendwie cool sind :",12,18,0.6667
cool,Judgement,"cool, Cooles","cool:2, Cooles:1","But it was so cool because I could write these stories , I could come up with these ideas , and they 'd be published in the school paper , and people who I did n't know could read them .","Es war so cool , ich konnte diese Geschichten schreiben , ich konnte mir diese Ideen einfallen lassen und sie wurden in der Schülerzeitung veröffentlicht , und Leute , die ich nicht kannte , konnten sie lesen .",3,18,0.1667
correct,Affect,recht,recht:1,"And if we are correct , if in fact some cookies have just come out of the oven , then our brains will have constructed hunger , and we are prepared to munch down those cookies and digest them in a very efficient way , meaning that we can eat a lot of them , which would be a really good thing .","Wenn wir recht haben und wenigstens ein paar Kekse frisch aus dem Ofen kommen , dann werden unsere Gehirne Hunger erzeugen und wir sind für den Verzehr der Kekse vorbereitet . Wir können dann effizient verdauen und daher viele Kekse essen , was eine sehr gute Sache wäre .",1,11,0.0909
correct,Appreciation,"korrekt, richtig","korrekt:4, richtig:2",It seemed like my instincts in fifth grade were correct .,Scheinbar waren meine Instinkte in der 5. Klasse richtig .,6,11,0.5455
correct,Judgement,"Recht, richtig, stimmt, wieder","Recht:1, richtig:1, stimmt:1, wieder:1","They are quite correct that these things are good for them in the short term , although bad for society in the long term .","Sie haben ganz Recht , dass diese Dinge kurzfristig gut für sie sind , wenn auch langfristig schlecht für die Gesellschaft .",4,11,0.3636
counterintuitive,Appreciation,Bauchgefühl,Bauchgefühl:1,That is a bit counterintuitive .,Das widerspricht dem Bauchgefühl .,1,1,1.0
courageous,Appreciation,"mutig, mutiger","mutig:1, mutiger:1",And I actually believe that the TED community needs to be more courageous .,"Daher glaube ich , die TED - Gemeinschaft sollte mutiger sein .",2,2,1.0
crazy,Affect,Wahnsinn,Wahnsinn:1,"My pollsters told me that I was crazy to run , that there was no way that I could win .","Meine Meinungsforscher sagten mir , es wäre Wahnsinn zu kandidieren , dass ich überhaupt keine Chance hätte zu gewinnen .",1,9,0.1111
crazy,Appreciation,verrückt,verrückt:3,"The bad news is , when I got in contact with these people to try and get some documents from them , they went crazy because I had all this stuff that they do n't have , and NASA purchased 1,759 pages of this stuff from me .","Die schlechte Nachricht ist , als ich mit diesen Leuten in Kontakt getreten bin und versucht habe ein paar Dokumente zu erhalten , sind sie verrückt geworden , weil ich all die Unterlagen besitze , die sie nicht haben . NASA erwarb 1,759 Seiten dieser Unterlagen von mir .",3,9,0.3333
crazy,Judgement,"verrückt, doch, wahnsinnig, ärgert sehr","verrückt:2, doch:1, wahnsinnig:1, ärgert sehr:1",It makes me crazy .,"Ich meine , das macht mich wahnsinnig .",5,9,0.5556
creative,Affect,"Kreativität, kreativ","Kreativität:1, kreativ:1","Living up to that vision is going to require that we are flexible , and it 's going to require that we 're creative .","Um dieser Vision gerecht zu werden , erfordert es von uns Flexibilität . Es erfordert von uns Kreativität .",2,6,0.3333
creative,Appreciation,kreativ,kreativ:1,"So as people make shapes with their hands or their heads and so forth , or with each other , these shapes literally produce sounds and drop out of thin air -- basically taking what 's often this , kind of , unseen space , or this undetected space , and making it something real , that people then can appreciate and become creative with .","Wenn die Leute also Formen mit ihren Händen oder Köpfen oder miteinander machen , dann erzeugen diese Formen buchstäblich Geräusche und entstehen wie aus dem Nichts . In dem Grunde nimmt es diesen unsichtbaren Raum , oder diesen unentdeckten Raum , und macht daraus etwas Reales , mit dem die Leute sich vergnügen und kreativ werden können .",1,6,0.1667
creative,Judgement,kreativ,kreativ:3,"Given his own lack of financial resources , Mr. Bihi has had to be creative .",Angesichts seiner eigenen begrenzten Mittel musste Bihi kreativ sein .,3,6,0.5
creepy,Appreciation,gruselig,gruselig:1,"And even though that 's still sort of creepy , there is an upside to having your taste monitored .","Und obwohl das immer noch gruselig ist , hat das einen Vorteil , wenn der eigene Geschmack aufgezeichnet wird .",1,1,1.0
criminal,Appreciation,kriminell,kriminell:1,""" Those people are criminal . "" "" Those people are violent . "" "" Those people are to be feared . """,""" Diese Menschen sind kriminell . "" "" Diese Menschen sind gewalttätig . "" "" Vor diesen Menschen muss man sich fürchten . """,1,1,1.0
critical,Affect,kritischer,kritischer:1,I 'm actually more critical of the men who wo n't take responsibility for their own children and of an economic system that makes it difficult for many men to earn enough money to support those children .,"Ich bin eigentlich kritischer gegenüber den Männern , die keine Verantwortung für ihre eigenen Kinder übernehmen , und gegenüber einem Wirtschaftssystem , das es vielen Männern schwierig macht , genug Geld für den Unterhalt der Kinder zu verdienen .",1,5,0.2
critical,Appreciation,"entscheidend, wichtig","entscheidend:2, wichtig:1",Why is this critical ?,Warum ist sie so wichtig ?,3,5,0.6
critical,Judgement,entscheidend,entscheidend:1,"So as we think about expanding our own radius in understanding science , it 's critical for Athens , Georgia , for Atlanta , Georgia , for the state of Georgia , and for the world .","Denken Sie also daran , Ihren Wissenschafts - Verständnisradius zu vergrößern ; es ist entscheidend für Athens , Georgia , für Atlanta , Georgia , für den Staat von Georgia und für die ganze Welt .",1,5,0.2
crucial,Appreciation,"entscheidend, (NULL), wichtig","entscheidend:3, (NULL):1, wichtig:1",Quantitative reasoning attains its proper position at the heart of what it takes to manage change where measurement is crucial .,"Quantitatives Argumentieren nimmt seinen rechtmäßigen Platz in dem Herzen dessen ein , was es benötigt , die Dinge zu ändern bei denen das Maß entscheidend ist .",5,5,1.0
crude,Appreciation,grob,grob:1,And the second thing is that an ant 's ability to assess this pattern must be very crude because no ant can do any sophisticated counting .,"Und zweitens : Die Fähigkeit einer Ameise zu der Analyse des Musters muss ziemlich grob sein , denn Ameisen können nicht anspruchsvoll zählen .",1,1,1.0
cruel,Appreciation,gemein,gemein:1,"It seems like when I tell that story of Brian to my class , a lot of them want to come up after class and tell me about their similar experience , how a teacher shut them down , or how a student was particularly cruel to them .","Und jedes Mal , wenn ich meiner Klasse Brians Geschichte erzähle , kommen nach der Stunde viele zu mir , um mir von ähnlichen Erfahrungen zu berichten : Wie ein Lehrer sie abrupt zurechtgewiesen hat oder wie ein Klassenkamerad besonders gemein zu ihnen war .",1,1,1.0
curious,Affect,neugierig,neugierig:5,I got curious again .,Ich wurde wieder neugierig .,5,8,0.625
curious,Appreciation,"seltsam, interessieren","seltsam:2, interessieren:1","The first three things are about how I 've been curious about technology , design and art , and how they intersect , how they overlap , and also a topic that I 've taken on since four years ago I became the President of Rhode Island School of Design : leadership .","Bei den ersten dreien geht es darum , wie ich mich für Technik , Design und Kunst zu interessieren begann und wie sie sich überschneiden . Ein weiteres Thema , das mich bewegt , seit ich vor vier Jahren Präsident der Rhode - Island - Schule für Design wurde , ist Führungsqualität .",3,8,0.375
cute,Appreciation,süß,süß:1,"Or a woman , I picked up her baby , really cute baby , I said "" Your baby is so cute . ""","Oder eine Frau . Ich hielt ihr Baby in dem Arm , ein wirklich süßes Baby und sagte : "" Dein Baby ist so süß . """,1,2,0.5
cute,Judgement,niedlich,niedlich:1,It 's not just that they 're damn cute ; it 's because they ca n't completely express what they 're thinking and what their intentions are .,"Nicht nur , weil sie so niedlich sind , sondern auch , weil sie ihre Gedanken und Absichten nicht vollständig ausdrücken können .",1,2,0.5
damaging,Appreciation,schädlich,schädlich:1,"This definition of beauty is damaging , dangerous and destructive , and we need to explode it immediately .","Diese Definition von Schönheit ist schädlich , gefährlich und zerstörerisch . Wir müssen sie sofort als falsch entlarven .",1,1,1.0
dangerous,Affect,gefährlicher,gefährlicher:1,And stopping fewer black people did not make the city any more dangerous .,Die Kontrolle weniger Schwarzer Menschen machte die Stadt in keinster Weise gefährlicher .,1,13,0.0769
dangerous,Appreciation,gefährlich,gefährlich:8,They said it 's us -- and this is dangerous .,Wir sind 's . Und das ist gefährlich .,8,13,0.6154
dangerous,Judgement,gefährlich,gefährlich:4,It 's dangerous when a group self - identifies itself as extreme .,"Es ist gefährlich , wenn eine Gruppe sich selbst als extrem identifiziert .",4,13,0.3077
dark,Appreciation,"dunkel, düster","dunkel:2, düster:1","No matter how dark a situation may be , a camera can extract the light and turn a negative into a positive .","Egal wie düster eine Situation erscheint , eine Kamera kann das Licht extrahieren und ein Negativ in ein Positiv verwandeln .",3,4,0.75
dark,Judgement,düster,düster:1,It 's dark .,Es ist düster .,1,4,0.25
dazzling,Appreciation,blendend,blendend:1,"Robicsek , this is absolutely dazzling . "" "" Yes , "" he said .","Robicsek , das ist absolut blendend . "" "" Ja , "" sagte er ,",1,1,1.0
dead,Affect,"Todsein, bereits tot, erschossen, gestorben, tot","Todsein:1, bereits tot:1, erschossen:1, gestorben:1, tot:1","My friend described it as a wake , but happy , because everyone I ever knew was there in line to see me , but I was n't dead .","Mein Freund beschrieb es als eine Art Totenwache , aber fröhlicher , weil jeder , den ich kannte , kam , um mich zu sehen , aber ich nicht tot war .",5,20,0.25
dead,Appreciation,"tot, leidet","tot:2, leidet:1","Every boy and every girl will be dead without it , struggle without it , nothing without it .","Jeder Junge und jedes Mädchen leidet ohne sie , muss kämpfen ohne sie , ist nichts ohne sie .",3,20,0.15
dead,Judgement,"tot, um","tot:11, um:1",I received a box in the mail and it was wrapped with newspaper and there was the picture of the man on the newspaper and he was dead .,Ich habe in der Post eine Schachtel erhalten und die war in Zeitungspapier eingewickelt und in dieser Zeitung war das Bild dieses Mannes und er war tot .,12,20,0.6
deceptive,Appreciation,Täuschung,Täuschung:1,"And we could talk about why this is deceptive , why you do n't notice there are only three fingers down here , because the mind , and the way it processes information , it does n't count , one , two , three . It groups them .","Und jetzt könnte man darüber reden , warum das eine Täuschung ist , warum man nicht wahrnimmt , dass hier unten nur drei Finger zu sehen sind : Weil der Verstand und die Art , wie er Informationen verarbeitet , sie nicht einzeln zählt , eins , zwei , drei , sondern sie als Gruppe sieht .",1,1,1.0
deep,Appreciation,tief,tief:2,"And since this was introduced in 1999 , a lot of these robots have been out and being used for surgical procedures like a prostatectomy , which is a prostate deep in the pelvis , and it requires fine dissection and delicate manipulation to be able to get a good surgical outcome .","Und seitdem das 1999 eingeführt wurde , wurden schon viele von diesen Robotern eingesetzt und für Operationen , wie zu dem Beispiel Prostataentfernungen , benutzt . Da die Prostata tief in dem Becken sitzt , ist eine feine Schnittführung und eine sehr vorsichtige Handhabung erforderlich , wenn man ein gutes chirurgisches Ergebnis will .",2,5,0.4
deep,Judgement,tief,tief:3,They also live deep .,Sie leben auch tief .,3,5,0.6
deeper,Affect,tiefer,tiefer:1,"And in order to capture a lot of CO2 , you have to make this contactor deeper .","Um möglichst viel CO2 einzufangen , muss der Filter tiefer sein .",1,5,0.2
deeper,Appreciation,tiefer,tiefer:1,Something that was deeper .,Etwas das tiefer ging .,1,5,0.2
deeper,Judgement,"tiefer, tiefgehender","tiefer:2, tiefgehender:1","At the bottom of this , it says , "" It 's deeper than gender .","Unten heißt es : "" Es geht tiefer als Geschlechterunterschiede .",3,5,0.6
defensible,Appreciation,vertretbar,vertretbar:1,I do n't think that 's defensible . But I 'd really be pleased to get your answers on that -- any reactions to that -- later .,"Ich denke nicht dass dies vertretbar ist , aber ich würde mich wirklich darüber freuen später Ihre Antworten dazu zu hören —jegliche Reaktionen dazu -- später .",1,1,1.0
deficient,Appreciation,behindert,behindert:1,"The philosopher Arthur Schopenhauer said that those who do n't wonder about the contingency of their existence , of the contingency of the world 's existence , are mentally deficient .","Der Philosoph Arthur Schopenhauer sagte , dass diejenigen , die nicht über die Beschaffenheit ihrer Existenz , über die Beschaffenheit der Existenz der Welt nachdenken , geistig behindert seien .",1,1,1.0
definable,Appreciation,definierbar,definierbar:1,"But there is nothing that is definable at the time of birth that would define you . And when I talk about definition , I 'm talking about your sexual orientation .","Aber zu dem Zeitpunkt der Geburt gibt es nichts , was definierbar wäre , was einen Menschen definieren würde , und wenn ich von Definition spreche , dann meine ich die sexuelle Orientierung .",1,1,1.0
delicate,Judgement,zart,zart:1,"These networks of carbon nanotubes are extremely flimsy . And since they 're so delicate , they need to be supported .","Diese Netze aus Kohlenstoffnanoröhren sind hauchdünn , und da sie so zart sind , müssen sie verstärkt werden .",1,1,1.0
delicious,Affect,vorzüglich,vorzüglich:1,"They 're delectable muscle , rich in fat -- absolutely taste delicious .","Ihr köstliches , fettreiches Muskelfleisch schmeckt absolut vorzüglich .",1,1,1.0
democratic,Affect,Demokratischer,Demokratischer:1,"If you compare how Obama did against how John Kerry had done four years earlier -- Democrats really like seeing this transition here , where almost every state becomes bluer , becomes more democratic -- even states Obama lost , like out west , those states became more blue .","Wenn man vergleicht , wie Obama in dem Gegensatz zu John Kerry vier Jahre früher abgeschnitten hat -- Die Demokraten freuen sich sehr über diese Veränderung hier , wo nahezu jeder Bundesstaat blauer wird , also Demokratischer -- sogar Staaten , in denen Obama verloren hat , wie hier weiter westlich . Diese Staaten wurden blauer .",1,1,1.0
dependent,Appreciation,abhängig,abhängig:1,And our babies and children are dependent on us for much longer than the babies of any other species .,Und unsere Babys und Kinder sind viel länger abhängig von uns als die Babys jeder anderen Gattung .,1,1,1.0
depressed,Affect,"depressiver, depressiv, deprimiert, trauriger","depressiver:2, depressiv:1, deprimiert:1, trauriger:1","So when I get really depressed about all of this , I comfort myself in thinking about the Industrial Revolution .","Immer wenn ich von dem Ganzen wirklich deprimiert werde , beruhige ich mich damit , an die industrielle Revolution zu denken .",5,7,0.7143
depressed,Judgement,"bedrückte, depressiv","bedrückte:1, depressiv:1",He was so depressed that friends worried he was suicidal .,"Er war so depressiv , dass Freunde sich sorgten , dass er sich umbringen würde .",2,7,0.2857
deprived,Affect,Schlafmangel,Schlafmangel:1,"When sleep deprivation literally makes us more sensitive to our own pain , it 's not so surprising that we have a hard time relating to others and just generally being a good and healthy person when we 're sleep - deprived .","Wenn uns Schlafmangel buchstäblich empfindlicher für eigenen Schmerz macht , überrascht auch nicht , dass es schwer ist , mit anderen zusammen zu sein und ganz allgemein ein ausgeglichener und gesunder Mensch zu sein , wenn wir an Schlafmangel leiden .",1,1,1.0
designable,Affect,nenne gestaltbar,nenne gestaltbar:1,"But the point is , this is all good news , because when something is predictable , it is what I call designable .","Der Punkt jedoch ist : Das sind alles gute Neuigkeiten . Denn wenn etwas vorhersagbar ist , dann ist es auch , wie ich es nenne , gestaltbar .",1,1,1.0
desirable,Affect,verbesserte wünschen,verbesserte wünschen:1,"Imagine that we could try to engineer humans that have enhanced properties , such as stronger bones , or less susceptibility to cardiovascular disease or even to have properties that we would consider maybe to be desirable , like a different eye color or to be taller , things like that .","Man könnte versuchen , Menschen so zu verändern , dass sie verbesserte Eigenschaften , z. B. stärkere Knochen , haben oder weniger anfällig für Herz - Kreislauf - Erkrankungen sind oder sogar Eigenschaften haben , die wir uns wünschen , z. B. eine andere Augenfarbe , oder größer zu sein .",1,1,1.0
desperate,Affect,behauptete um,behauptete um:1,"But Kanner took a dim view of these abilities , claiming that the kids were just regurgitating things they 'd heard their pompous parents say , desperate to earn their approval .","Aber Kanner spielte diese Fähigkeiten herunter , er behauptete , dass diese Kinder nur nachplapperten , was ihre wichtigtuerischen Eltern sagten , um deren Anerkennung zu erhalten .",1,1,1.0
destructive,Appreciation,"destruktiv, zerstörerisch","destruktiv:1, zerstörerisch:1","If you get a little baby , and you abuse it verbally , its little brain sends out chemicals that are so destructive that the little part of its brain that can tell good from bad just does n't grow , so you might have yourself a homegrown psychotic .","Wenn Sie ein kleines Baby bekommen und es wüst beschimpfen , dann sendet sein kleines Gehirn Chemikalien aus , die so zerstörerisch sind , dass der kleine Teil seines Gehirns , der Gut und Böse unterscheiden kann , einfach nicht wächst .",2,2,1.0
detailed,Appreciation,"beschrieben, detailliert","beschrieben:1, detailliert:1",These changes are detailed in many books .,Diese Veränderungen werden in vielen Büchern detailliert beschrieben .,2,2,1.0
determined,Affect,entschlossen,entschlossen:1,"I walked in angry , a little nervous but I was determined to set the tone for my new students .","Ich betrat den Raum verärgert und ein wenig nervös , doch ich war entschlossen , meinen neuen Schülern mit Autorität zu begegnen .",1,1,1.0
devastating,Appreciation,niederschmetternd,niederschmetternd:1,"One note on his death , which is so devastating , is that despite predicating the war on Iraq on a link between Saddam Hussein and terrorism in 9/11 , believe it or not , the Bush administration or the invaders did no planning , no pre-war planning , to respond to terrorism .","Eine Anmerkung zu seinem Tod , die so niederschmetternd ist : obwohl man den Irakkrieg auf einer Verbindung zwischen Saddam Hussein und dem Terrorismus des 11 . September gründete , glauben Sie es oder nicht , hatte sich die Bush - Regierung oder die Invasoren sich nicht darauf eingestellt wie man auf Terrorismus reagieren sollte .",1,1,1.0
different,Affect,"anders, (NULL)","anders:3, (NULL):1",So how do we change the stigma around looking different or not fitting into this narrow definition of beauty ?,"Wie können wir das Stigma rund ums anders Aussehen oder nicht in die engstirnige Definition von Schönheit zu passen , ändern ?",4,54,0.0741
